CutOff,ARI,NumberOfClusters
0.0,0.0,1202
0.05,0.0033,1069
0.1,0.0067,979
0.15,0.0109,877
0.2,0.0162,795
0.25,0.0212,719
0.3,0.0339,652
0.35,0.0526,557
0.4,0.0672,484
0.45,0.0761,422
0.5,0.1027,361
0.55,0.1107,316
0.6,0.1365,269
0.65,0.1473,229
0.7,0.1751,190
0.75,0.214,141
0.8,0.2321,106
0.85,0.2367,71
0.9,0.2588,33
0.95,0.0199,7
1.0,0.0,1
